car_title,장점,단점,개선점
제네시스 GV80 3.5 가솔린 터보 AWD,"디자인이 마음에 듭니다" "승차감과 주행성능이 만족스럽습니다" "6기통 엔진의 힘이 느껴집니다" "하차감이 좋습니다" "주행성능 정숙성 편안함은 최고입니다" "SDS2 인테리어 고급감이 정말 만족스럽습니다" "고급스러움과 이쁨 하차감에 매우 만족합니다" "외제차보다 가성비가 완전 좋습니다" "전체적으로 편리성을 갖추고 있으며 안정성이 우수합니다" "풍성한 옵션과 아름다운 실내 고급스러운 승차감을 제공합니다","연비가 생각보다 더 안 좋습니다" "체감 연비가 안 좋습니다" "가격이 옵션을 넣으면 높아집니다" "가격대비 승차감이 별로입니다" "대형 SUV인데도 뒷자석이 좁아서 타기 힘듭니다" "연비는 포기해야 합니다" "운전자를 위한 수납공간이 많이 부족합니다" "연비는 사악합니다" "승차감은 보통 수준입니다" "출고 품질이 좋지 않습니다","하이브리드 모델을 고려해봐야 합니다" "잔잔한 마무리 품질 개선이 필요합니다" "운전자를 위한 수납 공간을 늘려주세요" "연비 개선이 필요합니다" "연료 탱크 용량을 늘려주세요" "뒷좌석 공간을 넓혀주세요" "썬루프 옵션의 필요성을 다시 고려해주세요" "가격 경쟁력을 높여주세요" "가격이 비싼 점을 개선해주세요" "소소한 결함들을 개선해주세요"
제네시스 더 뉴 G70 슈팅브레이크 2.5 가솔린 터보,"안정감 있는 주행 성능을 제공합니다" "합리적인 가격에 좋은 옵션과 성능을 누릴 수 있습니다" "2열 헤드룸이 개선되어 거주성이 나아졌습니다" "코스팅 모드를 활용하면 뛰어난 연비를 경험할 수 있습니다" "젊은 층이 선호할 만한 스포티한 디자인을 갖췄습니다" "동급 차량 대비 뛰어난 주행 성능을 자랑합니다" "개성 있는 디자인으로 희소성을 느낄 수 있습니다" "여성 운전자에게도 매력적인 디자인입니다" "수납 공간이 넉넉하여 실용적입니다" "정비 접근성이 용이하여 편리합니다","자잘한 소프트웨어 버그가 존재합니다" "초반 가속력이 다소 아쉽습니다" "뒷좌석 공간이 좁게 느껴질 수 있습니다" "연비가 기대에 못 미칠 수 있습니다" "차체가 커서 운전이 다소 부담스러울 수 있습니다" "감가상각이 빠르게 진행될 수 있습니다" "일부에서는 2열 발 공간이 불편할 수 있습니다" "R단 알림음 오류 등 사소한 전자품질 문제가 발생할 수 있습니다" "클러스터에 드라이브 모드 표시 오류가 가끔 발생합니다" "보증 연장을 하지 않으면 수리비용 부담이 커질 수 있습니다","소프트웨어 업데이트를 통해 버그를 개선해야 합니다" "초반 가속 성능을 향상시키면 좋겠습니다" "뒷좌석 공간을 넓히기 위한 노력이 필요합니다" "연비 효율성을 높이는 연구가 필요합니다" "소프트웨어 안정성을 강화해야 합니다" "전자 장치의 품질 관리를 강화해야 합니다" "운전자 보조 시스템의 성능을 개선해야 합니다" "내비게이션 시스템의 편의성을 높여야 합니다" "실내 마감재의 고급감을 높여야 합니다" "트렁크 공간 활용성을 높이는 방안을 고려해야 합니다"
제네시스 더 뉴 G70 2.5 가솔린 터보,"2.5T 엔진은 일반인 눈높이에서 주행 성능이 매우 좋습니다" "고속 주행시 안정감이 굉장히 뛰어납니다" "가속 쉬프팅이 부드러울 땐 부드럽고 강할 때는 강합니다" "차체 밸런스가 뛰어나 가속 코너링 안전 등에서 든든한 지지를 느낄 수 있습니다" "디자인이 볼수록 매력적이며 뇌이징되어 고급스럽게 느껴집니다" "해당 차급에서 다른 브랜드를 비교해봐도 가성비가 좋습니다" "2.5T로 크게 부담 없는 연비와 가속 성능을 보여줍니다" "후륜구동으로 뒤에서 밀어주는 느낌이 만족스럽습니다" "SDS 적용한 바닐라 베이지 실내가 화사하고 예쁩니다" "주행 질감 핸들링 브레이킹이 좋은 편입니다","뒷좌석 공간이 좁아 뒷자리에 사람 태울 일이 적은 경우에 적합합니다" "연비는 시내 단거리 주행시 좋지 않습니다" "초반 가속력은 미션 때문에 아쉽습니다" "인테리어 아이보리 시트가 쉽게 오염될 수 있습니다" "품질 면에서 외부 단차가 보이고 핸들 잡소리가 발생할 수 있습니다" "아반떼에도 있는 앰비언트 라이트가 순정으로 없는 점이 아쉽습니다" "코너링 성능은 다른 차종 대비 아쉬운 부분이 있습니다" "일부 운전자는 편안한 시트 포지션을 찾기 어려울 수 있습니다" "차고가 조금 더 낮았으면 하는 아쉬움이 있습니다" "방음 거주성은 아쉬운 부분입니다","뒷좌석 공간을 넓혀 4인 가족도 편안하게 이용할 수 있도록 개선하면 좋겠습니다" "연비를 개선하여 경제성을 높이면 더 많은 소비자들이 만족할 것입니다" "초반 가속력을 향상시켜 더욱 다이나믹한 주행 경험을 제공하면 좋겠습니다" "시트 오염 방지 소재를 적용하거나 관리 용이성을 높이는 방안을 고려하면 좋겠습니다" "차량 품질 관리를 강화하여 외부 단차나 잡소리 문제를 해결해야 합니다" "앰비언트 라이트를 기본 옵션으로 제공하여 실내 분위기를 더욱 고급스럽게 연출하면 좋겠습니다" "코너링 성능을 개선하여 운전의 재미를 더하면 좋겠습니다" "다양한 체형의 운전자가 편안한 시트 포지션을 찾을 수 있도록 시트 조절 기능을 개선하면 좋겠습니다" "차고를 낮춰 더욱 스포티한 외관을 완성하면 좋겠습니다" "방음 성능을 강화하여 더욱 정숙한 실내 환경을 조성하면 좋겠습니다"
제네시스 더 뉴 G70 2.5 가솔린 터보 AWD,"독특한 매력으로 희소성이 돋보입니다" "고급스러운 실내 인테리어는 만족감을 높여줍니다" "제네시스 순정 네비게이션과 서비스가 편리합니다" "일상 주행에 충분한 성능을 제공합니다" "외관 디자인은 매력적입니다" "새로운 제네시스 엠블럼이 아름답습니다" "운전 보조 기능이 초보 운전자에게 유용합니다" "균형 잡힌 차체와 300마력 넘는 엔진이 운전을 즐겁게 합니다" "국산차 중 가성비 좋은 4륜 구동 세단입니다" "고속 주행 안정감과 승차감이 뛰어납니다","뒷좌석 공간이 좁습니다" "연비가 좋지 않습니다" "뒷좌석 탑승자의 피로도가 높을 수 있습니다" "터치식 공조 패널의 실용성이 다소 떨어집니다" "수입차 대비 제네시스만의 프리미엄이 아쉽습니다" "일부에서 완성도가 미흡하게 느껴질 수 있습니다" "연비를 중요하게 생각하는 운전자에게는 부담스러울 수 있습니다" "동급 외제차에 비해 아쉬운 점이 있을 수 있습니다" "풀옵션 시 가격이 높아져 선택의 폭이 넓어집니다" "기존 디젤 차량 대비 가솔린 연비에 적응이 필요합니다","뒷좌석 공간 확대를 고려해야 합니다" "연비 개선이 필요합니다" "터치식 공조 패널의 실용성을 개선해야 합니다" "제네시스만의 차별화된 프리미엄을 강화해야 합니다" "차량의 전반적인 완성도를 높여야 합니다" "페리 디자인을 더욱 멋있게 개선할 수 있습니다" "주행 질감을 더욱 고급스럽게 다듬을 필요가 있습니다" "소음 진동을 개선하여 정숙성을 높일 수 있습니다" "첨단 운전자 보조 시스템의 성능을 향상시킬 수 있습니다" "인포테인먼트 시스템의 사용 편의성을 개선해야 합니다"
제네시스 더 뉴 G70 3.3 가솔린 터보,"손에 딱 들어오는 차체 사이즈가 매력적입니다" "모자람 없는 출력이 운전의 재미를 더합니다" "편안한 전자 장비가 만족스럽습니다" "가성비와 가심비 모두 뛰어납니다" "국산 수입 통틀어 이 가격에 이만한 차가 없습니다" "주행 성능이 탁월하고 운전하는 재미가 좋습니다" "베이지 퀼팅 옵션으로 실내 고급스러운 느낌을 줍니다" "사라지지 않은 기어봉이 마음에 듭니다" "엔진이나 거동 관련 문제는 거의 없습니다" "코너링 안정성이 뛰어납니다","연비가 좋지 않습니다" "국산차 특유의 자잘한 유지보수가 필요합니다" "인테리어가 올드한 느낌이 있습니다" "뒷좌석 공간이 좁습니다" "트렁크 공간이 좁습니다" "변속 속도가 느립니다" "터보랙이 존재합니다" "미션 성능이 아쉽습니다" "신차임에도 현대 품질이 아쉬울 때가 있습니다" "뒷유리 기스 등 초기 품질 문제가 발생할 수 있습니다","연비 개선이 필요합니다" "인테리어 디자인을 개선하여 현대적인 느낌을 더해야 합니다" "뒷좌석 공간을 확장해야 합니다" "변속 속도를 개선해야 합니다" "터보랙을 줄여야 합니다" "미션 성능을 향상시켜야 합니다" "초기 품질 관리를 강화해야 합니다" "실내 잡소리를 줄여야 합니다" "에어컨 냄새 문제를 해결해야 합니다" "핸들이나 룸미러 디자인을 개선해야 합니다"
제네시스 더 뉴 G70 3.3 가솔린 터보 AWD,"가격대비 373마력의 강력한 출력을 제공합니다" "동급 수입차 대비 뛰어난 실내 디자인을 자랑합니다" "유지보수 및 편의 옵션이 우수합니다" "고속도로 주행 시 안정적인 성능을 보여줍니다" "국산 스포츠 세단 중 최고 수준의 출력을 자랑합니다" "디자인 호불호는 있지만 개성있는 외관을 가지고 있습니다" "무광 도장 관리가 생각보다 어렵지 않습니다" "직빨 가속 성능이 매우 뛰어납니다" "컴포트 모드 주행 시 편안한 승차감을 제공합니다" "가성비가 우수하며 2인 가족에게 적합합니다","연비가 M3나 포르쉐급으로 좋지 않습니다" "인포테인먼트 시스템이 구형입니다" "뒷좌석 공간이 매우 좁습니다" "터보랙이 다소 심하게 느껴집니다" "가격 대비 고급스러운 느낌이 부족할 수 있습니다" "16웨이 시트가 오히려 허리 통증을 유발할 수 있습니다" "수입차 대비 연비가 낮은 편입니다" "고급유를 사용해야 제 성능을 발휘합니다" "뒷좌석은 거의 사용이 불가능한 수준입니다" "내부 공간이 협소합니다","인포테인먼트 시스템을 최신 사양으로 개선해야 합니다" "뒷좌석 공간을 확장하여 실용성을 높여야 합니다" "터보랙을 줄여 더욱 부드러운 주행감을 제공해야 합니다" "실내 고급감을 향상시켜 가격에 걸맞는 만족도를 제공해야 합니다" "16웨이 시트의 편의성을 개선하여 사용자 만족도를 높여야 합니다" "연비를 개선하여 유지비 부담을 줄여야 합니다" "가변 배기 사운드를 더욱 풍부하게 개선해야 합니다" "뒷좌석 승객을 위한 편의 기능을 추가해야 합니다" "디자인에 대한 호불호를 줄이기 위한 노력이 필요합니다" "트렁크 공간을 확장하여 실용성을 개선해야 합니다"
제네시스 G70 2.5 가솔린 터보,"안정적인 고속 주행 성능을 제공합니다" "합리적인 가격에 우수한 옵션과 성능을 누릴 수 있습니다" "슈팅브레이크 모델은 2열 헤드룸이 비교적 넓습니다" "고속 연비가 준수하며 코스팅 모드를 활용하면 더욱 향상됩니다" "젊은층이 선호할 만한 스포티한 운동 성능을 갖췄습니다" "동급 차량 대비 뛰어난 주행 성능을 자랑합니다" "매력적인 디자인과 우수한 승차감을 제공합니다" "여성이 혼자 타기에 좋은 스펙과 이미지를 갖췄습니다" "짐을 옮기기 용이한 트렁크 공간을 확보했습니다" "희소성 있는 모델로 개성을 드러내기에 좋습니다","초반 가속력이 다소 아쉽게 느껴질 수 있습니다" "자잘한 소프트웨어 버그가 존재합니다" "2열 발 공간이 다소 불편할 수 있습니다" "차체가 커서 운전이 부담스러울 수 있습니다" "연비가 다소 아쉬울 수 있습니다" "뒷좌석 공간이 좁게 느껴질 수 있습니다" "구입 직후 감가상각이 크게 발생할 수 있습니다" "일부 전자 품질 문제가 발생할 수 있습니다" "서비스 센터 접근성이 떨어질 수 있습니다" "차량 크기에 부담을 느낄 수 있습니다","초반 가속 성능을 개선하면 더욱 만족스러울 것입니다" "소프트웨어 업데이트를 통해 버그를 해결해야 합니다" "2열 발 공간을 개선하여 승차감을 높여야 합니다" "소프트웨어 업데이트를 적극적으로 제공해야 합니다" "전자 품질 문제 발생 빈도를 줄여야 합니다" "뒷좌석 공간 확보를 위한 노력이 필요합니다" "정숙성을 향상시키면 더욱 고급스러운 느낌을 줄 것입니다" "실내 디자인의 고급감을 높일 필요가 있습니다" "인포테인먼트 시스템의 사용 편의성을 개선해야 합니다" "첨단 운전자 보조 시스템의 정확도를 높여야 합니다"
제네시스 GV70 2.5 가솔린 터보,"뛰어난 가성비로 국산차 중에서 돋보이는 선택입니다" "가격 대비 훌륭한 성능을 제공합니다" "풀옵션 기준으로 수입차와 비교했을 때 가격 경쟁력이 뛰어납니다" "고급스러운 내 외부 디자인이 매력적입니다" "3.5T 모델은 강력한 힘을 자랑합니다" "밟는 대로 즉각적인 가속 성능을 보여줍니다" "고속 주행 시 실연비가 준수합니다" "전반적인 승차감이 만족스럽습니다" "세레스 블루 외장 색상이 특히 아름답습니다" "첨단 기능과 편의 사양이 잘 갖춰져 있습니다","연비를 중시하는 운전자에게는 부담스러울 수 있습니다" "3.5T 모델은 높은 배기량으로 인해 세금 부담이 있습니다" "시내 주행 시 연비가 낮게 나올 수 있습니다" "일부 차알못들의 잘못된 평가가 있을 수 있습니다" "고급유를 사용해야 최적의 성능을 낼 수 있습니다" "페리 모델 출시 시기가 늦어질 수 있습니다" "스포츠 모델은 서스펜션이 다소 단단하게 느껴질 수 있습니다" "뒷좌석 공간이 넉넉하지 않을 수 있습니다" "차량 크기에 비해 트렁크 공간이 부족할 수 있습니다" "일부 옵션은 가격이 비싸게 느껴질 수 있습니다","연비 효율성을 높이는 기술 개발이 필요합니다" "세금 부담을 줄일 수 있는 친환경 모델 개발이 필요합니다" "소비자들의 오해를 줄이기 위한 정확한 정보 제공이 필요합니다" "고급유 외 일반유 사용 시 성능 저하를 최소화하는 기술 개발이 필요합니다" "뒷좌석 공간을 넓히는 설계 개선이 필요합니다" "트렁크 공간 활용도를 높이는 디자인 개선이 필요합니다" "다양한 편의 기능을 기본 사양으로 제공하는 방안을 고려해야 합니다" "서스펜션 튜닝 옵션을 다양화하여 운전자 선택 폭을 넓혀야 합니다" "차량 가격 책정에 대한 투명성을 높여야 합니다" "고객 서비스 품질 향상을 위한 노력이 필요합니다"
제네시스 GV70 2.5 가솔린 터보 AWD,"동급 외제차에 비해 실내공간 편의사항 운전자보조기능 안전기능 등이 뛰어납니다" "디자인이 예쁘고 내부가 아름다워 탈 때마다 기분이 좋습니다" "정숙성과 디자인이 훌륭하며 옵션이 유용하고 가격 대비 좋습니다" "눈비 오는 날에도 안정적인 제동거리를 유지하여 안전성이 높습니다" "사고 위험 시 안전벨트를 자동으로 조여주어 운전 미숙자에게도 좋습니다" "넓은 시야 확보로 사방 확인이 용이하여 운전이 편리합니다" "고급스러운 내부 인테리어가 만족스럽습니다" "승차감이 단단하면서도 부드러워 아주 만족스럽습니다" "플라스틱을 최소화한 인테리어 품질이 훌륭합니다" "뒷자리 공간이 생각보다 넓게 잘 나옵니다","터보랙이 다소 느껴집니다" "연비가 좋지 않아 유일한 아쉬움입니다" "강남 같이 막히는 시내 주행 시 연비가 매우 안 좋습니다" "고급유 세팅 차량이라 일반유 주유 시 출력이 저하되는 느낌입니다" "트렁크 공간이 약간 아쉽습니다" "옵션 추가 시 가격이 높아져 가성비가 좋다고 보기는 어렵습니다" "고속도로 연비가 기대에 못 미칩니다" "정차 시 진동이 약간 있습니다" "휠 인치업 시 승차감이 저하될 수 있습니다" "300마력에 미치지 못하는듯한 체감 출력을 느낄 수 있습니다","터보랙을 줄여 즉각적인 반응성을 개선하면 좋겠습니다" "연비 개선을 통해 유지비 부담을 줄이면 좋겠습니다" "트렁크 공간을 확장하여 실용성을 높이면 좋겠습니다" "일반유 주유 시에도 충분한 출력을 발휘할 수 있도록 개선하면 좋겠습니다" "정차 시 진동을 줄여 더욱 쾌적한 승차감을 제공하면 좋겠습니다" "다양한 휠 디자인을 제공하여 선택의 폭을 넓히면 좋겠습니다" "운전자 보조 시스템의 정확도를 향상시키면 좋겠습니다" "뒷좌석 편의 기능을 추가하면 좋겠습니다" "인포테인먼트 시스템의 사용 편의성을 높이면 좋겠습니다" "가격 경쟁력을 확보하여 더 많은 고객에게 다가갈 수 있도록 노력하면 좋겠습니다"
제네시스 GV70 3.5 가솔린 터보 AWD,"가성비가 매우 뛰어나 수입차 대비 우수한 옵션을 제공합니다" "3.5 터보 엔진은 380마력과 54토크의 강력한 성능을 자랑합니다" "고속 주행 시 11-13km/l 정도의 준수한 연비를 보여줍니다" "외부 디자인이 세련되고 멋있어 볼 때마다 만족감을 줍니다" "내부 디자인 또한 고급스러워 탑승하는 즐거움을 더합니다" "밟는 대로 즉각적인 반응을 보이는 가속 성능이 인상적입니다" "전반적인 승차감이 뛰어나 장거리 운전에도 피로감이 적습니다" "스포츠 모드에서의 다이나믹한 주행 성능이 운전의 재미를 선사합니다" "AWD 시스템은 안정적인 주행 성능을 제공합니다" "다양한 첨단 운전자 보조 시스템이 안전 운전을 지원합니다","3.5 터보 엔진은 배기량이 높아 시내 주행 시 연비가 낮은 편입니다" "일부 차알못들은 연비를 과도하게 따지며 성능을 간과하는 경향이 있습니다" "고급유를 사용해야 최적의 성능을 발휘할 수 있습니다" "수입차 대비 브랜드 이미지가 다소 약할 수 있습니다" "일부 소비자들은 국산차에 대한 선입견을 가지고 있습니다" "풀옵션 선택 시 가격이 다소 높아질 수 있습니다" "차량 크기가 다소 작게 느껴질 수 있습니다" "트렁크 공간이 넉넉하지 않을 수 있습니다" "뒷좌석 공간이 넓지 않을 수 있습니다" "차량 색상에 따라 호불호가 갈릴 수 있습니다","연비에 대한 오해를 해소하기 위한 적극적인 홍보가 필요합니다" "브랜드 이미지를 더욱 강화하기 위한 노력이 필요합니다" "다양한 마케팅 활동을 통해 소비자들의 선입견을 개선해야 합니다" "소비자들의 다양한 요구를 반영한 추가적인 옵션 제공을 고려해볼 수 있습니다" "차량 크기에 대한 소비자 의견을 수렴하여 차세대 모델에 반영해야 합니다" "트렁크 공간 및 뒷좌석 공간 확대를 고려해볼 필요가 있습니다" "다양한 색상 옵션을 제공하여 소비자 선택의 폭을 넓혀야 합니다" "첨단 운전자 보조 시스템의 정확도를 더욱 높여야 합니다" "소프트웨어 업데이트를 통해 차량의 전반적인 성능을 지속적으로 개선해야 합니다" "고객 서비스 품질을 향상시켜 브랜드 만족도를 높여야 합니다"
제네시스 G90 3.5 가솔린 터보,"최고의 승차감을 제공합니다" "거주성이 뛰어나 가족들이 편안하게 탈 수 있습니다" "디자인이 매우 만족스럽습니다" "주행 보조 기능이 고속도로 주행 시 편리합니다" "고속 주행 시 노면 소음이 적어 만족스럽습니다" "뒷자리에서 편안하게 쉴 수 있습니다" "이전 모델보다 개선되어 세련되었습니다" "실내 공간이 넓습니다" "엠비언트 라이트가 아름답습니다" "악셀링을 잘하면 연비가 괜찮게 나옵니다","90km 이상 주행 시 바람 소리와 노면 소음이 증가합니다" "가격이 비쌉니다" "시내 주행 연비가 좋지 않습니다" "방음 처리가 필요할 수 있습니다" "건강보험료가 오를 수 있습니다" "충동구매를 하게 될 수도 있습니다" "일정 속도 이상에서 소음이 발생할 수 있습니다" "개인에 따라 가격이 부담스러울 수 있습니다" "일정 속도까지는 주행 성능이 만족스럽지만 그 이상은 아쉬울 수 있습니다" "연비에 신경쓰지 않는 사람에게 적합할 수 있습니다","고속 주행 시 소음 감소를 위한 방음 성능 강화가 필요합니다" "가격 경쟁력을 확보할 필요가 있습니다" "시내 주행 연비 개선이 필요합니다" "서스펜션 튜닝을 통해 고속 안정성을 높일 필요가 있습니다" "다양한 편의 기능을 추가하여 상품성을 높일 필요가 있습니다" "소비자 맞춤형 옵션 패키지 개발이 필요합니다" "차량 유지비 부담을 줄일 수 있는 방안 마련이 필요합니다" "차량 구매 시 다양한 금융 상품 제공이 필요합니다" "고객 서비스 품질 향상이 필요합니다" "지속적인 품질 관리를 통해 하자 발생을 줄여야 합니다"
제네시스 G90 3.5 가솔린 터보 AWD,"디자인 및 정숙성이 모두 만족스럽습니다" "주말 가족여행시 정말 만족하며 잘 타고 있습니다" "정숙성 승차감은 최고입니다" "젊은 감각의 세련된 디자인으로 만족스럽습니다" "뒷좌석 컴포트2 넣으면 뒷좌석은 그냥 끝난겁니다" "디자인 품질 엔진성능 가성비 좋은 성능입니다" "모든 면에서 좋은것 같습니다" "주행성능 운전편의성 안전성 디자인은 다 좋다고 봅니다" "주행성능 좋고 승차감 최상급이며 각종 편의시설은 정말 끝내줍니다" "부드럽고 편안합니다","차량결함에는 배째라식의 고객을 무시하는 행태는 언제나 개판입니다" "부분부분 원가절감이나 대충만든 티가 나는 곳이 있습니다" "초기 품질결함 심합니다 뽑기 잘못되면 A/S센터에서 살아야 됩니다" "연비가 많이 안좋습니다" "골프백도 3개 겨우 들어갑니다" "에어서스에서 소리나는 거만 빼면요" "동급 외제차에 비해서 출력은 다소 떨어지는 듯합니다" "에어서스 고질병은 있습니다" "차는 무게운데 엔진은 3.5터보다 보니 가속이 좀 답답합니다" "트렁크가 작아서 골프백 2개가 겨우 들어가 불편합니다","고객을 무시하는 행태를 개선해야 합니다" "원가절감을 지양하고 품질을 향상시켜야 합니다" "초기 품질 결함을 줄여야 합니다" "연비를 개선해야 합니다" "트렁크 공간을 확장해야 합니다" "에어서스 소음 문제를 해결해야 합니다" "출력을 향상시켜야 합니다" "에어서스 고질병을 해결해야 합니다" "가속 성능을 개선해야 합니다" "시트의 편안함을 개선해야 합니다"
제네시스 G90 3.5 가솔린 터보 MHEV AWD,"에어서스펜션 덕분에 매우 부드러운 승차감을 제공합니다" "후륜조향 기능은 유턴과 코너링 시 뛰어난 기동성을 선사합니다" "매력적인 디자인은 오너의 만족감을 높여줍니다" "뱅앤올룹슨 사운드 시스템은 최상의 음질을 자랑합니다" "자동문은 편리한 승하차를 도와줍니다" "넓고 쾌적한 실내 공간은 편안한 드라이빙 경험을 제공합니다" "마사지 시트와 뒷좌석 VIP 시트는 최상의 안락함을 선사합니다" "국산차로서 수리가 용이하다는 장점이 있습니다" "블랙 에디션은 희소성과 고급스러움을 더합니다" "고속 연비는 준수하여 장거리 운전에도 부담이 적습니다","차량 무게로 인해 드라마틱한 가속 성능은 기대하기 어렵습니다" "1억 6천만원이라는 높은 가격은 부담스러울 수 있습니다" "시내 연비는 다소 아쉬운 부분입니다" "차가 커서 주차하기가 다소 불편합니다" "아직 도로에서 흔하게 볼 수 없어 부품 수급에 어려움이 있을 수 있습니다" "차량 크기 때문에 좁은 길 주행이 불편할 수 있습니다" "가솔린 모델이라 유류비 부담이 있을 수 있습니다" "MHEV 시스템의 효율성이 기대에 못 미칠 수 있습니다" "최신 수입차에 비해 첨단 기능이 부족할 수 있습니다" "정숙성은 뛰어나지만 엔진 소음이 간혹 느껴질 수 있습니다","가속 성능을 향상시키기 위한 엔진 튜닝이 필요합니다" "가격 경쟁력을 확보하기 위한 노력이 필요합니다" "시내 연비 개선을 위한 기술 개발이 필요합니다" "주차 편의성을 높이기 위한 기능 추가가 필요합니다" "부품 수급 안정화를 위한 노력이 필요합니다" "첨단 운전자 보조 시스템을 강화해야 합니다" "뒷좌석 엔터테인먼트 시스템을 개선해야 합니다" "트렁크 공간 활용성을 높여야 합니다" "차량 무게를 줄이기 위한 노력이 필요합니다" "소프트웨어 업데이트를 통해 사용자 편의성을 향상시켜야 합니다"
제네시스 EQ900 3.3 가솔린 터보,"뛰어난 내구성을 자랑합니다" "탁월한 정숙성을 제공합니다" "만족스러운 승차감을 선사합니다" "잔고장이 거의 없습니다" "3.3 터보 엔진임에도 조용한 엔진 소리를 유지합니다" "다른 차를 타기 어려울 정도로 만족도가 높습니다" "저속 80km 이하 주행 시 매우 안정적입니다" "운전자와 탑승자에게 편안함을 제공합니다" "세련된 디자인이 돋보입니다" "고급스러운 실내 인테리어가 인상적입니다","고속 주행 안정성이 다소 떨어집니다" "물침대처럼 출렁이는 느낌이 있습니다" "연비가 좋지 않습니다" "독일차와 비교 시 아쉬운 부분이 있습니다" "급가속 시 약간의 터보랙이 느껴질 수 있습니다" "스티어링 휠의 반응성이 다소 둔감합니다" "차체 크기로 인해 좁은 공간에서의 주차가 다소 불편합니다" "최신 기술 적용이 경쟁 차종에 비해 부족할 수 있습니다" "뒷좌석 공간이 넓지만 최고 수준은 아닙니다" "인포테인먼트 시스템 사용이 다소 복잡합니다","고속 주행 안정성을 개선해야 합니다" "서스펜션 튜닝을 통해 출렁이는 느낌을 줄여야 합니다" "연비 효율을 높이기 위한 노력이 필요합니다" "스티어링 휠 반응성을 개선해야 합니다" "최신 운전자 보조 시스템을 추가해야 합니다" "인포테인먼트 시스템 사용 편의성을 높여야 합니다" "뒷좌석 편의 기능을 강화해야 합니다" "차체 경량화를 통해 운동 성능을 향상시켜야 합니다" "정기적인 소프트웨어 업데이트를 제공해야 합니다" "고객 서비스 품질을 더욱 향상시켜야 합니다"
제네시스 EQ900 3.3 가솔린 터보 AWD,"차 자체로는 너무 좋은 차입니다" "종합적으로 벤츠보다 좋습니다" "국산 고급차급의 1인자로 승하차감이 우수합니다" "에쿠스 후속으로 디자인이 우수합니다" "대형차의 중후함과 편안하고 안락함이 있습니다" "반자율주행성능이 뛰어남으로 고속도로 주행시에 편안합니다" "하차감이 좋고 생각보다 연비도 준수합니다" "실내공간도 넓어서 가족들 다 들어가도 쾌적합니다" "승차감 엔진상태 모두 좋습니다" "가격대비 성능 승차감이 모두 좋습니다","현대차 라는 것이 단점입니다" "차량의 품질 재료가 싼티가 납니다" "연비는 보통 수준입니다" "후미 잡소리 핸들조향소리 엔진소리 성능에 비해 소음이 큽니다" "가끔 고스트 도어 미작동합니다" "연비는 어쩔 수 없습니다 감안하고 타야 합니다" "소모품 비용이 비싼 편입니다" "연비는 아주 나쁩니다" "유지비용을 생각하면서 운용하면 힘듭니다" "3.3T는 차의 무게를 감안하면 힘이 좀 약합니다","차량 재료의 고급감을 높여 품질을 개선하면 좋겠습니다" "엔진 소음과 하부 잡소리를 줄이는 노력이 필요합니다" "고스트 도어 작동 오류를 개선해야 합니다" "연비를 향상시키는 기술 개발이 필요합니다" "후속 모델에서는 더욱 개선된 디자인을 기대합니다" "반자율 주행 성능을 더욱 고도화하면 좋겠습니다" "실내 인테리어 디자인을 최신 트렌드에 맞게 개선하면 좋겠습니다" "정비 편의성을 더욱 높여 유지보수 부담을 줄이면 좋겠습니다" "고속 주행 안정성을 더욱 강화하면 좋겠습니다" "첨단 안전 기능을 추가하여 안전성을 높이면 좋겠습니다"
제네시스 EQ900 3.8 가솔린,"7년 동안 잔고장 없이 운행이 편안하고 안정감이 좋습니다" "가격 대비 최고의 가성비를 자랑합니다" "140에서 150km로 주행해도 속도감이 거의 느껴지지 않습니다" "바닥 소음과 풍절음이 잘 차단됩니다" "과속 방지턱을 넘는지 모를 정도로 승차감이 뛰어납니다" "장거리 운전 피로도가 낮습니다" "승차감이 매우 좋습니다" "디자인과 색상이 마음에 듭니다" "크기가 커서 넓고 편안합니다" "고속 주행 시 힘이 좋고 운전 재미가 있습니다","연비가 다소 아쉽습니다" "후륜 타이어 교체 비용이 부담됩니다" "벤츠나 BMW 같은 단단한 하체에서 나오는 코너링 안정감은 부족합니다" "에어컨 가동 시 잔진동이 느껴집니다" "통풍 시트 성능이 기대에 못 미칩니다" "통합 검색만 터치되고 나머지는 조그 다이얼로 조작해야 하는 불편함이 있습니다" "시트가 불편하여 장거리 운전 시 엉덩이가 아픕니다" "일부 하체에서 소음이 발생하기도 합니다" "롤링이 어느 정도 있어 불안한 느낌이 들 수 있습니다" "후방 긴급 제동 경고음이 너무 큽니다","연비 개선이 필요합니다" "후륜 타이어 내구성을 강화해야 합니다" "단단한 하체 튜닝을 통해 코너링 안정감을 높여야 합니다" "에어컨 작동 시 발생하는 진동을 줄여야 합니다" "통풍 시트 성능을 개선해야 합니다" "터치스크린 인터페이스를 개선하여 편의성을 높여야 합니다" "시트 착좌감을 개선하여 장거리 운전 피로도를 줄여야 합니다" "하체 소음 발생 원인을 파악하고 개선해야 합니다" "롤링을 억제하여 고속 주행 안정감을 높여야 합니다" "후방 긴급 제동 경고음 크기를 조절할 수 있도록 해야 합니다"
