car_title,trim,drive,price,habitability,quality,design,fuel,reply
링컨 네비게이터,3.5 가솔린 4WD,10,7,8,10,10,4,좋은차......밟는데로 나가고 연비는 별로 안좋음 오디오시스템 최고인듯
링컨 네비게이터,3.5 가솔린 4WD,10,10,10,8,8,6,"주차. 방지턱. 연비 정도가 단점. 커서 주차 하기 어렵고 문콕에 굉장히신경쓰인다. 프레임 바디인만큼 저속으로 방지턱 넘을때 꿀렁임이 크다. 오히려 시속50km이상으로 넘을 때 승차감더 낫다. 연비는 덩치와 출력에 비하면 매우 준수한편. 시내 6~6.5 고속도로 8.3~9.6 대충 33000정도주행. 스포츠모드로 놓고 신나게 밟으면 1킬로아래로 떨어지지만, 그만큼 신나게 달릴 수 있다. 속도가 꽤 붙은 상태로도 악셀을 다시 밟으면 그 상태로 바로 또 가속이 붙는다. 알피엠 뜬상태로 유지 되다가 한번 더 치고 나가는게 참 기분좋음. 그리고 고급스러운 승차감. 평소엔 못느끼다가 가끔 익스플로러나 제네시스등 다른 차를 운전하면 달구지 타는느낌. 넘치는 출력과 정숙성. 고급스러움. 넓은 거주성. 첨단 편의 장비. 보는이를 압도하는 외관 등등등 단점빼고 생각나는 전부다 장점. 취등록세 포함 대략 1억4천 언저리. 이가격대에 이만한 만족을 주는 차는 없다고 본다."
링컨 네비게이터,3.5 가솔린 4WD,10,10,10,10,8,6,정숙성 좋음. 애들이 차만 타면 숙면 모드. 뒷태가 사진보단 이쁨. 못생겨보이는 디자인일 수 있으나 계속 보면 괜찮아보임. 레벨울티마 스피커 공간감 미쳤음. 셀프 세차하기 빡셈. 왠만한 자동세차 못들어감. 주차도 약간 스트레스. 노멀모드에서도 힘 딸린다 느끼는건 없음. excite 모드에서는 운전 재미짐. (당연하게도) 연비도 좀 낮고 연료통도 살짝 작은듯 해서 주유소 자주 가게됨. 크루즈모드 쓸만함. 요철 넘을때 차 길이 때문에 뒷쪽에 꿀렁거림은 어쩔수 없는듯... 그래도 주행 질감은 부드럽고 편함.
링컨 네비게이터,3.5 가솔린 4WD,10,10,8,10,10,6,차체가 웅장하고 시선 강탈하기에 충분한 차임에는 분명하죠.그런만큼 주차와 연비는 다소 애로가 있는게 사실. 구매할때 다 감안하지 않을까요? 타다보면 노하우가 생기는듯오.
링컨 뉴 MKX,2.7 GTDI,10,10,10,10,10,5,최고의 SUV!신차는 모르겠지만 중고차로 이보다 더 좋은 차량은 없다
링컨 뉴 MKX,2.7 GTDI,10,10,10,7,9,8,전반적으로 차급 대비 양호한 연비 디자인 편안한 주행질감 등 중고로 구매하기엔 최상의 suv
링컨 뉴 MKX,2.7 GTDI,10,10,10,10,10,10,미국차 치고는 성능도 우수하고 힘도 좋고 내구성도 좋은데 실내디자인이 올드한게 흠
링컨 뉴 MKX,2.7 GTDI,10,10,10,10,10,6,디자인 안전사양 등가성비 최고의 차량. 단지 AS센터가 많이 없어서 힘듬 물론 고장도 없음
링컨 뉴 MKX,2.7 GTDI,10,10,10,10,10,8,이 차는 성능.가격.품질.디자인 모두 만족 하는데체감 연비가 타 자동차에 비하여 좋지않다. 또 하나은 써비스센터 가 광주에 하나밖에 없어 서비스 예약이 어렵고 긴급수리가 요구될때에 어려움이 많았다
링컨 뉴 MKX,2.7 GTDI,10,10,10,6,8,6,풀타임 4륜이라 작년 고속도로 눈길 다른차들 기어갈때 그냥 막 밟아도 미끄러짐 없이 잘감 힘도 좋구이무거운차로 스포츠모드시 가속도 시원합니다 오디오도 좋고 관리잘된 중고 구입시 가성비 최고임
링컨 뉴 MKX,2.7 GTDI,10,10,9,10,10,7,현재 2024년도 대비해서 2016년식으로 평가한다면 가성비 완전 좋음 다만 연비는 차량중량도 그렇고 미국차의 특성을 감안한다면 평균수준이긴 함 스피커 시스템과 주행성능 시트포지셔닝 차량디자인 이중접합유리등 탁월한 부분들은 만점을 주지 않을수 없음 단지 연비가....ㅋㅋ 주말에 주로 주행하거나 필요할때만 탄다거나 하면 진짜 가성비 갑인 차량이라 생각함
링컨 뉴 MKX,2.7 GTDI,10,10,10,8,10,4,승차감. 편의장치. 디자인. 다만족하는데.한가지흠은 연비가 않좋다는거 수리비 부속대가 비싸다는거. 빼고는 만족합니다.
링컨 뉴 MKX,2.7 GTDI,10,10,10,10,10,6,연비빼고 다좋다고 생각 합니다
링컨 뉴 MKX,2.7 GTDI,10,10,8,8,8,6,중고차 가성비로 타기엔좋은듯 키로수 덜탄거 무사고차량알아봤지만 지금까지 만족스러워요 연비는 원래안좋으니 신경써서 타느라 스트레스네요 ㅎ 레벨울티마 스피커는 좋은데 저랑 성향은 안맞는듯 아무 고장없이 탔으면 좋겠네요
링컨 뉴 MKX,2.7 GTDI,10,10,10,10,10,8,연비도 생각보다 나쁘지않음 최고!!!!! 연비 별4개 이외엔 다 만족하며 타는중입니다
링컨 뉴 MKX,2.7 GTDI,10,10,10,10,10,7,"연비 아쉬운것 빼면 승차감 정숙성 차량성능 모두 10점만점인 차,,다음차도 링컨으로 가게 만드는 차에요."
링컨 뉴 MKX,2.7 GTDI,7,9,10,8,7,6,편안하게 가족과 함께하는 SUV (랙서스 RX와 같은 성향의 차)..휘발유라 조용하고 승차감이 부드러운 세팅차....
링컨 뉴 MKX,2.7 GTDI,10,9,10,9,10,8,힘좋고 잘나가고 정말 좋은 차량 입니다 ~~^^가격 대비 가성비 좋은 차량 입니다 ~~^^
링컨 뉴 MKX,2.7 GTDI,10,10,10,6,8,4,차는 좋아요 가성비로 이만한 외제차 없다고 봅니다 다음차도 링컨으로 사고싶어요 그런데 as때문에 망설여 집니다 쉬운수리도 부품을 미국서 받아오기때문에 한달 두달씩 걸립니다 그리고 센터 대응이 정말 욕나올정도구요 특히 천안에서 수리하셔야하는분은 다시한번 생각해보세요 센터장이란 사람 마인드가 정말 불친절하고요 자기들 실수로 두번방문하게 만들었음에도 따지니까 사람이니까 실수한다는 ㅋㅋㅋ 어이없는말을하더라구요 사람이니실수할수있죠 근데 그게 열받은사람한테 할말인가요? 원래천안센터가 악명높은건 알았지만 직접격어보니 환장합니다 ㅎㅎ
링컨 뉴 MKX,2.7 GTDI,10,9,9,8,8,3,"차는 묵직하고 진짜 튼튼함, 문짝 무게도 두께도 엄청남 게다가 직빨도 좋고 잘나감...그만큼 기름은 많이 쳐먹음ㅋㅋㅋ 전형적인 아메리칸 럭셔리...물론 중고가격은 감가 엄청 맞지만...(속상함)...18년부터 쭉 타면서 속썩이는건 서비스센터지 차가 아님ㅎㅎ 그렇다고 서비스센터 대응이 나쁘지는 않은데 별루임ㅎㅎ 암튼 링컨에 대해 안좋은 감정이 있었으나 어쩌다보니 신차부터 지금까지 사서 타보니 좋은 감정으로 바뀜...다음차는 전에 타던 비엠으로 다시 갈 예정ㅋㅋ"
링컨 뉴 MKX,2.7 GTDI,10,6,6,2,10,3,연비빼면 최고! 품질은 바닥잔고장많음! 센터들어가는게 주행시간보다 많음!
링컨 뉴 MKX,2.7 GTDI,10,10,10,5,10,2,가성비는 좋치만연비 꽝 그리고 은근 잔고장 많음 그래도 주행능력은 좋아요 . .
링컨 뉴 MKX,2.7 GTDI,10,10,9,10,10,10,정말 튼튼합니다!! 정차중에 뒤에 차가 브레이크 없이 그대로 두번을 박았는데 탑승자들은 목 뻐근한 정도로 그쳤어요. 뒤에차량은 앞이 다 찌그러짐. 차를 바꾸고 싶은데 고장이 안나요. 서비스센터 좀 왔다갔다 하면 바꾸기라도 할텐데.. 차 문짝이며 몸체의 두께가 두꺼워서인지 트렁크 내부공간이 넓지 않아요. 골프백이 가로로 안실립니다. 아쉬움
링컨 뉴 MKX,2.7 GTDI,10,10,10,10,9,7,연비 빼고는 거의 완벽한 차량입니다.AS비용이 좀 걱정되지만 고장 잘 안나니 그럭저럭 탈만해요
링컨 MKX,2.7 GTDI,10,10,10,10,10,5,최고의 SUV!신차는 모르겠지만 중고차로 이보다 더 좋은 차량은 없다
링컨 MKX,2.7 GTDI,10,10,10,7,9,8,전반적으로 차급 대비 양호한 연비 디자인 편안한 주행질감 등 중고로 구매하기엔 최상의 suv
링컨 MKX,2.7 GTDI,10,10,10,10,10,10,미국차 치고는 성능도 우수하고 힘도 좋고 내구성도 좋은데 실내디자인이 올드한게 흠
링컨 MKX,2.7 GTDI,10,10,10,10,10,6,디자인 안전사양 등가성비 최고의 차량. 단지 AS센터가 많이 없어서 힘듬 물론 고장도 없음
링컨 MKX,2.7 GTDI,10,10,10,10,10,8,이 차는 성능.가격.품질.디자인 모두 만족 하는데체감 연비가 타 자동차에 비하여 좋지않다. 또 하나은 써비스센터 가 광주에 하나밖에 없어 서비스 예약이 어렵고 긴급수리가 요구될때에 어려움이 많았다
링컨 MKX,2.7 GTDI,10,10,10,6,8,6,풀타임 4륜이라 작년 고속도로 눈길 다른차들 기어갈때 그냥 막 밟아도 미끄러짐 없이 잘감 힘도 좋구이무거운차로 스포츠모드시 가속도 시원합니다 오디오도 좋고 관리잘된 중고 구입시 가성비 최고임
링컨 MKX,2.7 GTDI,10,10,9,10,10,7,현재 2024년도 대비해서 2016년식으로 평가한다면 가성비 완전 좋음 다만 연비는 차량중량도 그렇고 미국차의 특성을 감안한다면 평균수준이긴 함 스피커 시스템과 주행성능 시트포지셔닝 차량디자인 이중접합유리등 탁월한 부분들은 만점을 주지 않을수 없음 단지 연비가....ㅋㅋ 주말에 주로 주행하거나 필요할때만 탄다거나 하면 진짜 가성비 갑인 차량이라 생각함
링컨 MKX,2.7 GTDI,10,10,10,8,10,4,승차감. 편의장치. 디자인. 다만족하는데.한가지흠은 연비가 않좋다는거 수리비 부속대가 비싸다는거. 빼고는 만족합니다.
링컨 MKX,2.7 GTDI,10,10,10,10,10,6,연비빼고 다좋다고 생각 합니다
링컨 MKX,2.7 GTDI,10,10,8,8,8,6,중고차 가성비로 타기엔좋은듯 키로수 덜탄거 무사고차량알아봤지만 지금까지 만족스러워요 연비는 원래안좋으니 신경써서 타느라 스트레스네요 ㅎ 레벨울티마 스피커는 좋은데 저랑 성향은 안맞는듯 아무 고장없이 탔으면 좋겠네요
링컨 MKX,2.7 GTDI,10,10,10,10,10,8,연비도 생각보다 나쁘지않음 최고!!!!! 연비 별4개 이외엔 다 만족하며 타는중입니다
링컨 MKX,2.7 GTDI,10,10,10,10,10,7,"연비 아쉬운것 빼면 승차감 정숙성 차량성능 모두 10점만점인 차,,다음차도 링컨으로 가게 만드는 차에요."
링컨 MKX,2.7 GTDI,7,9,10,8,7,6,편안하게 가족과 함께하는 SUV (랙서스 RX와 같은 성향의 차)..휘발유라 조용하고 승차감이 부드러운 세팅차....
링컨 MKX,2.7 GTDI,10,9,10,9,10,8,힘좋고 잘나가고 정말 좋은 차량 입니다 ~~^^가격 대비 가성비 좋은 차량 입니다 ~~^^
링컨 MKX,2.7 GTDI,10,10,10,6,8,4,차는 좋아요 가성비로 이만한 외제차 없다고 봅니다 다음차도 링컨으로 사고싶어요 그런데 as때문에 망설여 집니다 쉬운수리도 부품을 미국서 받아오기때문에 한달 두달씩 걸립니다 그리고 센터 대응이 정말 욕나올정도구요 특히 천안에서 수리하셔야하는분은 다시한번 생각해보세요 센터장이란 사람 마인드가 정말 불친절하고요 자기들 실수로 두번방문하게 만들었음에도 따지니까 사람이니까 실수한다는 ㅋㅋㅋ 어이없는말을하더라구요 사람이니실수할수있죠 근데 그게 열받은사람한테 할말인가요? 원래천안센터가 악명높은건 알았지만 직접격어보니 환장합니다 ㅎㅎ
링컨 MKX,2.7 GTDI,10,9,9,8,8,3,"차는 묵직하고 진짜 튼튼함, 문짝 무게도 두께도 엄청남 게다가 직빨도 좋고 잘나감...그만큼 기름은 많이 쳐먹음ㅋㅋㅋ 전형적인 아메리칸 럭셔리...물론 중고가격은 감가 엄청 맞지만...(속상함)...18년부터 쭉 타면서 속썩이는건 서비스센터지 차가 아님ㅎㅎ 그렇다고 서비스센터 대응이 나쁘지는 않은데 별루임ㅎㅎ 암튼 링컨에 대해 안좋은 감정이 있었으나 어쩌다보니 신차부터 지금까지 사서 타보니 좋은 감정으로 바뀜...다음차는 전에 타던 비엠으로 다시 갈 예정ㅋㅋ"
링컨 MKX,2.7 GTDI,10,6,6,2,10,3,연비빼면 최고! 품질은 바닥잔고장많음! 센터들어가는게 주행시간보다 많음!
링컨 MKX,2.7 GTDI,10,10,10,5,10,2,가성비는 좋치만연비 꽝 그리고 은근 잔고장 많음 그래도 주행능력은 좋아요 . .
링컨 MKX,2.7 GTDI,10,10,9,10,10,10,정말 튼튼합니다!! 정차중에 뒤에 차가 브레이크 없이 그대로 두번을 박았는데 탑승자들은 목 뻐근한 정도로 그쳤어요. 뒤에차량은 앞이 다 찌그러짐. 차를 바꾸고 싶은데 고장이 안나요. 서비스센터 좀 왔다갔다 하면 바꾸기라도 할텐데.. 차 문짝이며 몸체의 두께가 두꺼워서인지 트렁크 내부공간이 넓지 않아요. 골프백이 가로로 안실립니다. 아쉬움
링컨 MKX,2.7 GTDI,10,10,10,10,9,7,연비 빼고는 거의 완벽한 차량입니다.AS비용이 좀 걱정되지만 고장 잘 안나니 그럭저럭 탈만해요
링컨 뉴 MKS,종합,10,9,10,10,9,1,12만때 중고로 사서 16만째타고있지만 조용하고고속도록 큰차 지나갈때도 흔들리는게 약하고 고속주행에서도 안정감있네요 다만 정식센터 가서 점검받으면 수리보단 교체를 권하니 돈이 많이들어갑니다 강남구 근처에 싼마이로 수리가능한곳알고 계시면 저도좀알려주세요 ㅠ
링컨 뉴 MKS,종합,10,10,8,8,10,4,정숙성 안전성 고속안전성 다좋아요 스피커가 엄청납니다. 하지만 차량크기에 비해서 뒷좌석이 진짜 너무좁아요 ㅋㅋㅋ 쓸데없이 트렁크만 키워놓음... 진짜 뒷자리 빼내는건 우리나라 차만한게 없는거같아요 덩치도 큰 서양인들이 이차 뒷자리타려면..ㅋㅋㅋ 연비는 진짜 극악입니다 쓰레기... ㅋㅋ 그리고 수리비가 너무 엄청납니다 독3사보다 더비싸요
링컨 뉴 MKS,종합,9,10,10,10,10,6,철판이 두꼅고 차 크기가 대형이어서 주행중 매우 안전함. 단 연비는 안좋음
링컨 뉴 MKS,종합,10,10,10,10,10,10,3700cc 부족하지 않는 6기통 스포츠모드는 왠만한 스포츠카는 다 저리가라 안전성 편의성 힘 주행 어느것 하나 부족함이 없다 가장 중요한것은 굉장히 튼튼한 차!
링컨 뉴 MKS,종합,10,10,10,10,6,8,6년차인데 차는 너무 만족합니다. 21만키로인데 아직도 정숙해요. as가 불만족이긴 해요.
링컨 뉴 MKS,종합,10,9,10,10,10,9,미국차에 대한 생각을 바꾸게 한 차입니다. 승차감부터 편의성까지 독일차에 비해 좋습니다.
링컨 뉴 MKS,종합,10,10,10,10,8,5,출고가 대비 차량의 주행성능과 정숙함은 매우 좋습니다다만 배기량에 따른 자동차세와 보험료가 비싼것 같습니다 가성비는 어느것보다 좋습니다
링컨 뉴 MKS,종합,10,10,10,10,8,10,디자인이 너무독특해 서 튀긴합니다ㆍ요즘은 디자인도 현대화되고 구형이지만 지인들 수입차와 비교해도 이만한 승차감과 안정감이 없네요ㆍ가끔 속도를 낼때면 스포츠모드로 변환ㆍ웅장한 소리와함께 쭉쭉 잘나가죠아직 뭘타볼까 생각해보진 않았으니ᆢ뽑은지7년되도 만족스럽습니다
링컨 뉴 MKS,종합,10,10,10,10,10,6,엄청난 만족감을 주는 차는 아니라고 생각했는데막상 다음차로 떠올려지는 차가 없는걸보니 이만한 차가 없는듯..
링컨 뉴 MKS,종합,9,9,9,9,8,8,미국차의 특징으로 높은 배기량에 넘치는 힘과 주행중 안전하게 느껴집니다
링컨 뉴 MKS,종합,10,10,10,10,6,6,편안하고 튼튼하고 가성비 갑입니다. 내구성 좋구요연비도 동일등급차량과 비슷합니다.
링컨 뉴 MKS,종합,10,10,10,10,10,10,"아주 만족합니다. 적극 추천합니다. 디자인, 운전 편의성, 각종 최고급 옵션 모두 만족합니다."
링컨 뉴 MKS,종합,10,10,10,10,0,5,최고의 가성비우수한 디자인 안정성 넘치는 차체 내구성 좋음 승차감에서 감점 특히 뒷좌석 협소
링컨 뉴 MKS,종합,10,10,10,10,10,6,연비는 않좋으나 다른 모든것은 매우 만족함 추천할만한 차량 임....
링컨 뉴 MKS,종합,10,10,9,9,10,8,대형세단의 감성을 가지고있습니다 차량 자체는 가성비가 높다고 생각되며 연비적인 측면을 제외하고는 최고입니다 연비도 대형세단임을 감안하면 이해가 되는 수준입니다
링컨 뉴 MKS,종합,10,10,7,10,10,10,차량이 웅장하고 날럽하게 생겼어요 차량의 크기에 비해 연비도 좋고 무엇보다 엔진의 성능이 최고입니다
링컨 뉴 MKS,종합,10,5,10,10,8,8,브랜드 인지도에 따른 중고시세 방어가 눈물 나지만 주행성능 배기음 정숙성 사운드 무게감 모든게 만족스러움
링컨 뉴 MKS,종합,10,10,10,10,10,8,크라이슬러 300c보다는 우수하다고 봅니다.승차감은 아주 좋구요. 마력이 370이상이라 힘은 충분합니다. 특히 사륜구동이어서 안정감이 좋습니다.
링컨 뉴 MKS,종합,9,10,10,10,10,10,승차감 탁월하며 특히 안정성이 우수하며 소음없고 무게감 있어 편안하며 품위유지 good
링컨 뉴 MKS,종합,10,10,10,10,10,8,가성비는 진차좋고 부품값이 문제인데 아직크게 들어간것은없어서 어쨌든 전 다음차도 링컨입니다
링컨 뉴 MKS,3.7 가솔린,9,10,10,10,10,10,승차감 탁월하며 특히 안정성이 우수하며 소음없고 무게감 있어 편안하며 품위유지 good
링컨 뉴 MKS,3.7 가솔린,10,9,10,10,9,1,12만때 중고로 사서 16만째타고있지만 조용하고고속도록 큰차 지나갈때도 흔들리는게 약하고 고속주행에서도 안정감있네요 다만 정식센터 가서 점검받으면 수리보단 교체를 권하니 돈이 많이들어갑니다 강남구 근처에 싼마이로 수리가능한곳알고 계시면 저도좀알려주세요 ㅠ
링컨 뉴 MKS,3.7 가솔린,10,10,8,8,10,4,정숙성 안전성 고속안전성 다좋아요 스피커가 엄청납니다. 하지만 차량크기에 비해서 뒷좌석이 진짜 너무좁아요 ㅋㅋㅋ 쓸데없이 트렁크만 키워놓음... 진짜 뒷자리 빼내는건 우리나라 차만한게 없는거같아요 덩치도 큰 서양인들이 이차 뒷자리타려면..ㅋㅋㅋ 연비는 진짜 극악입니다 쓰레기... ㅋㅋ 그리고 수리비가 너무 엄청납니다 독3사보다 더비싸요
링컨 뉴 MKS,3.7 가솔린,9,10,10,10,10,6,철판이 두꼅고 차 크기가 대형이어서 주행중 매우 안전함. 단 연비는 안좋음
링컨 뉴 MKS,3.7 가솔린,10,10,10,10,10,10,3700cc 부족하지 않는 6기통 스포츠모드는 왠만한 스포츠카는 다 저리가라 안전성 편의성 힘 주행 어느것 하나 부족함이 없다 가장 중요한것은 굉장히 튼튼한 차!
링컨 뉴 MKS,3.7 가솔린,10,10,10,10,6,8,6년차인데 차는 너무 만족합니다. 21만키로인데 아직도 정숙해요. as가 불만족이긴 해요.
링컨 뉴 MKS,3.7 가솔린,10,9,10,10,10,9,미국차에 대한 생각을 바꾸게 한 차입니다. 승차감부터 편의성까지 독일차에 비해 좋습니다.
링컨 뉴 MKS,3.7 가솔린,10,10,10,10,8,5,출고가 대비 차량의 주행성능과 정숙함은 매우 좋습니다다만 배기량에 따른 자동차세와 보험료가 비싼것 같습니다 가성비는 어느것보다 좋습니다
